,TIMESTAMP,BVP,ACC_X,ACC_Y,ACC_Z,TEMP,EDA,HR,IBI,Sleep_Stage
0,15000.0,-24.41,-30.0,4.0,58.0,32.27,0.275453,66.55,0.859375,0
1,15000.015625,-26.1,-30.0,4.0,58.0,32.27,0.275453,66.55,0.859375,0
2,15000.03125,-28.38,-31.0,3.0,57.0,32.27,0.275453,66.55,0.859375,0
3,15000.046875,-31.37,-31.0,3.0,57.0,32.27,0.275453,66.55,0.859375,0
4,15000.0625,-34.95,-31.0,4.0,58.0,32.27,0.275453,66.55,0.859375,0
5,15000.078125,-38.67,-31.0,4.0,58.0,32.27,0.275453,66.55,0.859375,0
6,15000.09375,-41.76,-30.0,3.0,57.0,32.27,0.275453,66.55,0.859375,0
7,15000.109375,-43.16,-30.0,3.0,57.0,32.27,0.275453,66.55,0.90625,0
8,15000.125,-41.86,-30.0,4.0,57.0,32.27,0.275453,66.55,0.90625,0
9,15000.140625,-37.24,-30.0,4.0,57.0,32.27,0.275453,66.55,0.90625,0
10,15000.15625,-29.41,-31.0,4.0,58.0,32.27,0.275453,66.55,0.90625,0
11,15000.171875,-19.31,-31.0,4.0,58.0,32.27,0.275453,66.55,0.90625,0
12,15000.1875,-8.38,-31.0,3.0,58.0,32.27,0.275453,66.55,0.90625,0
13,15000.203125,1.86,-31.0,3.0,58.0,32.27,0.275453,66.55,0.90625,0
14,15000.21875,10.29,-31.0,4.0,57.0,32.27,0.275453,66.55,0.90625,0
15,15000.234375,16.52,-31.0,4.0,57.0,32.27,0.275453,66.55,0.90625,0
16,15000.25,20.85,-30.0,3.0,56.0,32.27,0.274172,66.55,0.90625,0
17,15000.265625,23.97,-30.0,3.0,56.0,32.27,0.274172,66.55,0.90625,0
18,15000.28125,26.62,-32.0,3.0,57.0,32.27,0.274172,66.55,0.90625,0
19,15000.296875,29.27,-32.0,3.0,57.0,32.27,0.274172,66.55,0.90625,0
20,15000.3125,32.07,-30.0,4.0,58.0,32.27,0.274172,66.55,0.90625,0
21,15000.328125,34.88,-30.0,4.0,58.0,32.27,0.274172,66.55,0.90625,0
22,15000.34375,37.41,-30.0,3.0,57.0,32.27,0.274172,66.55,0.90625,0
23,15000.359375,39.35,-30.0,3.0,57.0,32.27,0.274172,66.55,0.90625,0
24,15000.375,40.47,-30.0,4.0,57.0,32.27,0.274172,66.55,0.90625,0
25,15000.390625,40.58,-30.0,4.0,57.0,32.27,0.274172,66.55,0.90625,0
26,15000.40625,39.61,-30.0,4.0,57.0,32.27,0.274172,66.55,0.90625,0
27,15000.421875,37.61,-30.0,4.0,57.0,32.27,0.274172,66.55,0.90625,0
28,15000.4375,34.75,-30.0,4.0,57.0,32.27,0.274172,66.55,0.90625,0
29,15000.453125,31.42,-30.0,4.0,57.0,32.27,0.274172,66.55,0.90625,0
30,15000.46875,28.04,-31.0,3.0,58.0,32.27,0.274172,66.55,0.90625,0
31,15000.484375,25.01,-31.0,3.0,58.0,32.27,0.274172,66.55,0.90625,0
32,15000.5,22.61,-30.0,4.0,58.0,32.27,0.272891,66.55,0.90625,0
33,15000.515625,20.88,-30.0,4.0,58.0,32.27,0.272891,66.55,0.90625,0
34,15000.53125,19.7,-30.0,4.0,57.0,32.27,0.272891,66.55,0.90625,0
35,15000.546875,18.8,-30.0,4.0,57.0,32.27,0.272891,66.55,0.90625,0
36,15000.5625,17.91,-30.0,4.0,57.0,32.27,0.272891,66.55,0.90625,0
37,15000.578125,16.83,-30.0,4.0,57.0,32.27,0.272891,66.55,0.90625,0
38,15000.59375,15.49,-30.0,4.0,57.0,32.27,0.272891,66.55,0.90625,0
39,15000.609375,13.89,-30.0,4.0,57.0,32.27,0.272891,66.55,0.90625,0
40,15000.625,12.15,-31.0,3.0,57.0,32.27,0.272891,66.55,0.90625,0
41,15000.640625,10.38,-31.0,3.0,57.0,32.27,0.272891,66.55,0.90625,0
42,15000.65625,8.7,-31.0,3.0,58.0,32.27,0.272891,66.55,0.90625,0
43,15000.671875,7.21,-31.0,3.0,58.0,32.27,0.272891,66.55,0.90625,0
44,15000.6875,5.96,-30.0,3.0,58.0,32.27,0.272891,66.55,0.90625,0
45,15000.703125,4.93,-30.0,3.0,58.0,32.27,0.272891,66.55,0.90625,0
46,15000.71875,4.04,-31.0,4.0,58.0,32.27,0.272891,66.55,0.90625,0
47,15000.734375,3.23,-31.0,4.0,58.0,32.27,0.272891,66.55,0.90625,0
48,15000.75,2.44,-30.0,4.0,57.0,32.27,0.272891,66.55,0.90625,0
49,15000.765625,1.64,-30.0,4.0,57.0,32.27,0.272891,66.55,0.90625,0
50,15000.78125,0.86,-31.0,3.0,58.0,32.27,0.272891,66.55,0.90625,0
51,15000.796875,0.11,-31.0,3.0,58.0,32.27,0.272891,66.55,0.90625,0
52,15000.8125,-0.59,-31.0,3.0,57.0,32.27,0.272891,66.55,0.90625,0
53,15000.828125,-1.25,-31.0,3.0,57.0,32.27,0.272891,66.55,0.90625,0
54,15000.84375,-1.85,-31.0,3.0,57.0,32.27,0.272891,66.55,0.90625,0
55,15000.859375,-2.46,-31.0,3.0,57.0,32.27,0.272891,66.55,0.90625,0
56,15000.875,-3.06,-30.0,4.0,57.0,32.27,0.272891,66.55,0.90625,0
57,15000.890625,-3.69,-30.0,4.0,57.0,32.27,0.272891,66.55,0.90625,0
58,15000.90625,-4.28,-31.0,3.0,58.0,32.27,0.272891,66.55,0.90625,0
59,15000.921875,-4.77,-31.0,3.0,58.0,32.27,0.272891,66.55,0.90625,0
60,15000.9375,-5.05,-30.0,3.0,57.0,32.27,0.272891,66.55,0.90625,0
61,15000.953125,-5.08,-30.0,3.0,57.0,32.27,0.272891,66.55,0.90625,0
62,15000.96875,-4.96,-31.0,4.0,58.0,32.27,0.272891,66.55,0.90625,0
63,15000.984375,-4.87,-31.0,4.0,58.0,32.27,0.272891,66.55,0.90625,0
64,15001.0,-5.13,-30.0,3.0,58.0,32.29,0.271609,66.37,0.90625,0
65,15001.015625,-5.95,-30.0,3.0,58.0,32.29,0.271609,66.37,0.90625,0
66,15001.03125,-7.37,-31.0,3.0,57.0,32.29,0.271609,66.37,0.90625,0
